Date,Open,High,Low,Close,Adj Close,Volume
2008-12-15,24.190001,26.510000,22.540001,24.600000,16.563187,14676200
2008-12-22,24.850000,24.850000,21.969999,23.139999,15.580167,5323900
2008-12-29,23.190001,23.750000,21.040001,23.190001,15.613832,9901800
2009-01-05,23.240000,26.750000,22.260000,26.129999,17.593327,24734500
2009-01-12,25.990000,26.070000,22.690001,24.680000,16.617044,20671100
2009-01-19,24.580000,26.260000,22.740000,25.809999,17.377874,13807300
2009-01-26,25.980000,28.230000,24.700001,24.780001,16.684378,16550200
2009-02-02,24.510000,28.320000,24.250000,28.010000,18.859137,13721700
2009-02-09,27.610001,28.250000,25.670000,26.250000,17.674129,13054800
2009-02-16,25.530001,28.410000,24.620001,26.680000,17.963646,18418500
2009-02-23,27.180000,29.080000,26.090000,26.920000,18.125242,20128200
2009-03-02,26.350000,27.719999,21.820000,22.379999,15.068455,29821400
2009-03-09,22.180000,26.129999,21.809999,25.660000,17.276884,18529300
2009-03-16,26.000000,26.000000,23.879999,24.850000,16.731510,17984000
2009-03-23,25.469999,28.450001,25.299999,27.830000,18.737944,34721800
2009-03-30,27.180000,31.290001,26.320000,29.780001,20.050880,24107500
2009-04-06,28.719999,32.459999,27.540001,32.419998,21.828386,16019900
2009-04-13,32.279999,32.820000,27.860001,28.830000,19.411242,26806200
2009-04-20,28.320000,31.680000,27.820000,31.309999,21.081020,15847100
2009-04-27,30.709999,31.190001,29.020000,29.340000,19.754623,13442800
2009-05-04,29.629999,30.290001,25.889999,26.129999,17.593327,24600500
2009-05-11,26.190001,27.180000,25.100000,26.469999,17.822252,19618900
2009-05-18,26.840000,27.129999,21.850000,22.549999,15.182919,44878100
2009-05-25,22.490000,24.950001,21.980000,24.950001,16.798836,28904100
2009-06-01,25.170000,26.500000,23.350000,23.889999,16.085140,29377300
2009-06-08,23.500000,25.490000,23.410000,24.120001,16.239998,21895300
2009-06-15,23.920000,23.920000,22.650000,22.950001,15.452238,19355400
2009-06-22,22.879999,22.879999,20.440001,22.170000,14.927064,29142900
